,label
15722,not clickbait
8197,clickbait
2725,not clickbait
11977,not clickbait
3974,not clickbait
687,not clickbait
2478,not clickbait
155,not clickbait
7405,clickbait
5512,clickbait
4088,not clickbait
6050,clickbait
186,clickbait
11820,not clickbait
13686,not clickbait
8518,clickbait
8434,not clickbait
4244,clickbait
12892,not clickbait
14224,not clickbait
11491,not clickbait
11036,clickbait
2477,clickbait
15582,not clickbait
9967,not clickbait
5314,not clickbait
4457,clickbait
7587,clickbait
15563,not clickbait
8949,clickbait
6220,not clickbait
7207,not clickbait
725,clickbait
6581,clickbait
13108,clickbait
11278,not clickbait
12346,clickbait
5690,clickbait
11608,clickbait
13658,clickbait
8425,not clickbait
13312,clickbait
691,clickbait
14779,not clickbait
11989,clickbait
8274,not clickbait
8545,not clickbait
2996,not clickbait
2333,not clickbait
4870,clickbait
13319,not clickbait
4084,clickbait
9964,not clickbait
1764,clickbait
3437,not clickbait
1423,clickbait
806,clickbait
5905,clickbait
3292,not clickbait
12423,not clickbait
4285,clickbait
1662,not clickbait
7205,not clickbait
13607,not clickbait
13750,clickbait
4846,clickbait
4345,not clickbait
8575,not clickbait
4446,clickbait
3463,clickbait
6996,clickbait
11972,not clickbait
5565,not clickbait
6925,clickbait
11732,not clickbait
2931,clickbait
9250,not clickbait
9452,clickbait
2579,clickbait
13436,not clickbait
3654,not clickbait
8202,clickbait
2058,clickbait
5777,clickbait
11347,not clickbait
10915,clickbait
7445,not clickbait
14780,clickbait
3910,clickbait
1536,clickbait
9301,not clickbait
12541,clickbait
2963,clickbait
10260,clickbait
7616,not clickbait
2780,clickbait
14748,not clickbait
2878,clickbait
10629,not clickbait
10452,clickbait
10581,not clickbait
1449,clickbait
741,not clickbait
7610,clickbait
1833,clickbait
4530,not clickbait
8443,clickbait
1068,not clickbait
12316,clickbait
8560,clickbait
10311,not clickbait
4291,clickbait
10337,not clickbait
8972,clickbait
12109,clickbait
14160,clickbait
8559,not clickbait
9707,not clickbait
7533,not clickbait
1949,clickbait
12112,not clickbait
14464,clickbait
6951,clickbait
9372,not clickbait
9790,clickbait
9688,not clickbait
11324,not clickbait
7947,clickbait
5167,clickbait
5162,clickbait
171,clickbait
3360,clickbait
9039,clickbait
13680,not clickbait
376,not clickbait
8672,not clickbait
2088,not clickbait
9182,not clickbait
9472,not clickbait
7264,clickbait
12931,not clickbait
10341,not clickbait
13282,clickbait
7899,clickbait
5441,not clickbait
7838,clickbait
9202,not clickbait
4198,not clickbait
3769,clickbait
1473,clickbait
13050,not clickbait
15138,clickbait
4844,not clickbait
13692,not clickbait
14766,clickbait
11521,not clickbait
13004,not clickbait
8771,clickbait
3292,clickbait
629,clickbait
3214,not clickbait
12657,not clickbait
10995,clickbait
9518,clickbait
4953,not clickbait
6879,not clickbait
1001,not clickbait
2228,not clickbait
6926,clickbait
2802,clickbait
11994,clickbait
8172,not clickbait
1428,not clickbait
3526,clickbait
8576,not clickbait
14959,not clickbait
85,clickbait
14125,clickbait
2916,clickbait
3270,not clickbait
13374,not clickbait
7434,not clickbait
11274,clickbait
13426,not clickbait
13385,clickbait
15071,clickbait
11327,not clickbait
11867,clickbait
10525,not clickbait
3097,not clickbait
9870,clickbait
8932,clickbait
14562,not clickbait
560,clickbait
14068,clickbait
14994,not clickbait
477,not clickbait
10012,clickbait
6632,clickbait
1654,not clickbait
81,not clickbait
2404,clickbait
8847,not clickbait
54,not clickbait
47,clickbait
4574,clickbait
6119,not clickbait
12063,clickbait
7345,clickbait
12122,not clickbait
9311,clickbait
4673,not clickbait
13837,not clickbait
2870,clickbait
7579,clickbait
9799,clickbait
13484,clickbait
6989,clickbait
9759,not clickbait
5982,not clickbait
14682,clickbait
6713,clickbait
2947,not clickbait
1347,not clickbait
4565,not clickbait
13176,not clickbait
10379,clickbait
521,clickbait
9220,not clickbait
6212,clickbait
296,clickbait
15022,not clickbait
4042,clickbait
4935,not clickbait
12899,clickbait
6186,clickbait
10711,clickbait
4307,clickbait
8733,clickbait
5222,not clickbait
2320,clickbait
3166,not clickbait
8798,clickbait
13573,clickbait
13686,clickbait
13288,not clickbait
6146,clickbait
15860,not clickbait
3456,not clickbait
3670,clickbait
10140,clickbait
449,not clickbait
11313,clickbait
6965,clickbait
14022,clickbait
1036,not clickbait
12830,clickbait
15520,not clickbait
14560,not clickbait
12534,clickbait
9826,clickbait
1649,clickbait
5021,clickbait
14984,clickbait
1020,clickbait
3041,not clickbait
11485,not clickbait
9622,clickbait
4221,not clickbait
12574,clickbait
13427,not clickbait
11042,not clickbait
9850,clickbait
5252,clickbait
7494,not clickbait
426,not clickbait
2498,clickbait
13084,clickbait
164,not clickbait
3840,not clickbait
13400,not clickbait
7406,not clickbait
7023,not clickbait
3701,not clickbait
8530,clickbait
3765,clickbait
11688,clickbait
11232,clickbait
3475,not clickbait
2970,clickbait
5492,clickbait
14561,not clickbait
12926,clickbait
3591,clickbait
11525,not clickbait
13893,not clickbait
9685,clickbait
15521,not clickbait
3989,clickbait
15681,not clickbait
8646,not clickbait
12709,not clickbait
13941,not clickbait
5700,not clickbait
598,not clickbait
13060,not clickbait
5774,clickbait
269,clickbait
3540,clickbait
14050,not clickbait
13666,clickbait
10888,not clickbait
8288,not clickbait
962,not clickbait
3973,clickbait
12222,not clickbait
4848,not clickbait
846,not clickbait
4668,not clickbait
2402,not clickbait
6165,not clickbait
8438,clickbait
1594,clickbait
4843,clickbait
11217,not clickbait
15995,not clickbait
415,clickbait
9974,clickbait
13870,clickbait
5834,clickbait
8846,clickbait
4829,not clickbait
2516,not clickbait
7227,clickbait
11032,not clickbait
10028,clickbait
13343,clickbait
55,not clickbait
5712,clickbait
2051,not clickbait
6967,not clickbait
1429,not clickbait
10174,clickbait
3091,clickbait
14835,not clickbait
6365,not clickbait
13104,clickbait
2672,not clickbait
12048,clickbait
10370,clickbait
1992,not clickbait
14450,not clickbait
13819,clickbait
2218,not clickbait
1178,not clickbait
4924,not clickbait
5457,clickbait
6939,clickbait
11486,not clickbait
9423,not clickbait
1602,not clickbait
8716,not clickbait
1892,not clickbait
15631,not clickbait
14609,not clickbait
6877,not clickbait
9100,clickbait
2122,clickbait
6659,clickbait
8879,not clickbait
15363,not clickbait
15151,not clickbait
11176,not clickbait
2305,not clickbait
1311,clickbait
12918,not clickbait
916,not clickbait
10486,clickbait
2881,not clickbait
2222,clickbait
14536,clickbait
12479,clickbait
5242,clickbait
14541,clickbait
10717,not clickbait
7120,not clickbait
6463,not clickbait
8706,not clickbait
1977,not clickbait
13241,not clickbait
9434,clickbait
9670,clickbait
6508,not clickbait
11365,not clickbait
12648,clickbait
7289,not clickbait
10589,clickbait
7755,clickbait
14082,clickbait
9401,clickbait
4975,clickbait
4899,clickbait
12950,not clickbait
9585,not clickbait
8160,not clickbait
1725,not clickbait
5699,clickbait
444,clickbait
11305,clickbait
11425,not clickbait
6063,clickbait
11658,not clickbait
13186,not clickbait
15959,not clickbait
12354,not clickbait
14279,clickbait
8682,not clickbait
4461,clickbait
1338,clickbait
7333,not clickbait
11603,clickbait
14043,clickbait
1983,not clickbait
4201,not clickbait
2139,clickbait
7753,not clickbait
2419,clickbait
6329,clickbait
536,clickbait
2216,clickbait
15870,not clickbait
1633,not clickbait
4022,not clickbait
15374,not clickbait
2967,clickbait
950,clickbait
13731,clickbait
13098,not clickbait
11681,not clickbait
13702,clickbait
14938,clickbait
2289,clickbait
7726,not clickbait
7434,clickbait
8515,not clickbait
682,not clickbait
9246,clickbait
6271,not clickbait
13659,not clickbait
15366,not clickbait
10844,not clickbait
1481,clickbait
6667,not clickbait
3732,clickbait
12163,clickbait
8187,clickbait
6432,clickbait
4795,clickbait
2768,not clickbait
7194,clickbait
10093,clickbait
8757,clickbait
1074,not clickbait
10918,not clickbait
14250,not clickbait
14343,not clickbait
13106,clickbait
6332,not clickbait
12185,not clickbait
12219,clickbait
7841,clickbait
1626,not clickbait
14015,not clickbait
10804,not clickbait
7046,not clickbait
3613,not clickbait
10812,not clickbait
7702,not clickbait
5353,clickbait
8478,not clickbait
408,not clickbait
11803,clickbait
5784,clickbait
10152,clickbait
2455,clickbait
2476,not clickbait
12964,clickbait
9733,clickbait
5538,not clickbait
14733,not clickbait
12752,clickbait
13124,not clickbait
7251,not clickbait
6838,not clickbait
2719,clickbait
15781,not clickbait
12209,clickbait
3587,not clickbait
13417,clickbait
14639,not clickbait
6283,clickbait
9237,not clickbait
15903,not clickbait
6493,not clickbait
6116,clickbait
6309,clickbait
15121,not clickbait
2914,not clickbait
9487,clickbait
1848,not clickbait
8014,clickbait
289,not clickbait
3871,not clickbait
12773,clickbait
12825,clickbait
11609,not clickbait
11458,not clickbait
5304,clickbait
13148,not clickbait
9345,not clickbait
12972,clickbait
4732,not clickbait
15175,clickbait
14527,not clickbait
647,clickbait
1753,not clickbait
2253,not clickbait
2032,not clickbait
4202,not clickbait
11897,clickbait
9926,not clickbait
8472,clickbait
12395,clickbait
7766,not clickbait
1167,clickbait
10204,clickbait
12021,clickbait
3949,clickbait
3113,clickbait
1295,clickbait
3900,clickbait
1465,not clickbait
2593,not clickbait
6358,not clickbait
5893,not clickbait
4481,clickbait
9525,clickbait
5771,not clickbait
8117,not clickbait
14232,clickbait
4489,clickbait
7653,not clickbait
15821,not clickbait
4978,not clickbait
15075,not clickbait
5152,clickbait
2774,not clickbait
2472,not clickbait
4844,clickbait
7365,clickbait
13991,not clickbait
1301,not clickbait
3727,not clickbait
11336,clickbait
2676,not clickbait
6922,not clickbait
7617,clickbait
12505,not clickbait
13200,clickbait
11749,not clickbait
6681,not clickbait
14399,not clickbait
558,clickbait
6706,clickbait
8390,clickbait
13814,not clickbait
1656,clickbait
11363,clickbait
11908,not clickbait
9006,not clickbait
621,not clickbait
3544,not clickbait
6581,not clickbait
9969,not clickbait
2288,not clickbait
291,not clickbait
9047,clickbait
7464,clickbait
11429,clickbait
15460,not clickbait
12420,clickbait
2793,not clickbait
622,not clickbait
7277,clickbait
7807,clickbait
8837,clickbait
7850,not clickbait
3504,clickbait
4982,not clickbait
4525,clickbait
3890,clickbait
11233,clickbait
8793,not clickbait
633,not clickbait
12512,clickbait
10184,not clickbait
3483,not clickbait
14532,clickbait
6230,not clickbait
3159,clickbait
3929,clickbait
1184,not clickbait
477,clickbait
1887,clickbait
379,not clickbait
10556,clickbait
8354,not clickbait
5808,not clickbait
606,not clickbait
5354,not clickbait
6956,not clickbait
14487,clickbait
37,not clickbait
15416,not clickbait
9601,not clickbait
12976,clickbait
2853,not clickbait
7578,clickbait
9897,not clickbait
12439,not clickbait
7076,clickbait
14862,not clickbait
7623,clickbait
14475,clickbait
9444,not clickbait
14370,not clickbait
13080,clickbait
9352,clickbait
15105,not clickbait
4218,clickbait
10627,not clickbait
11311,clickbait
2545,clickbait
12111,clickbait
2141,clickbait
43,not clickbait
4748,not clickbait
4987,clickbait
4802,not clickbait
8657,not clickbait
9939,clickbait
12374,not clickbait
4490,clickbait
14443,clickbait
14073,not clickbait
10797,not clickbait
8690,clickbait
7818,clickbait
3902,not clickbait
15506,not clickbait
9115,clickbait
12099,clickbait
3121,clickbait
6938,clickbait
5331,clickbait
13042,not clickbait
14007,clickbait
1016,clickbait
15665,not clickbait
7621,clickbait
1553,clickbait
4428,not clickbait
1195,clickbait
13851,not clickbait
6707,not clickbait
12099,not clickbait
12613,not clickbait
5292,not clickbait
13265,not clickbait
11003,not clickbait
12449,clickbait
12764,not clickbait
3614,clickbait
15251,not clickbait
5385,not clickbait
2909,not clickbait
15041,not clickbait
7050,not clickbait
13209,not clickbait
14499,clickbait
5661,not clickbait
10770,clickbait
6999,not clickbait
303,clickbait
8898,clickbait
8244,clickbait
559,clickbait
5272,clickbait
2089,clickbait
11574,not clickbait
4183,clickbait
1822,clickbait
5850,clickbait
1846,not clickbait
2319,clickbait
11479,clickbait
366,clickbait
6625,clickbait
5233,not clickbait
8332,not clickbait
9471,not clickbait
3658,clickbait
1565,clickbait
13352,clickbait
2819,not clickbait
8516,not clickbait
7754,not clickbait
9111,clickbait
8667,clickbait
3237,not clickbait
12313,not clickbait
10750,not clickbait
2906,clickbait
13840,not clickbait
11865,clickbait
533,not clickbait
9334,not clickbait
13070,not clickbait
6509,clickbait
4606,not clickbait
8647,not clickbait
1093,not clickbait
4375,clickbait
4052,clickbait
1854,not clickbait
1858,not clickbait
6588,not clickbait
11186,clickbait
7956,not clickbait
15897,not clickbait
10598,not clickbait
1280,not clickbait
14453,not clickbait
9453,clickbait
15703,not clickbait
644,clickbait
13430,not clickbait
2346,not clickbait
5031,not clickbait
12837,clickbait
15286,not clickbait
3789,not clickbait
877,not clickbait
10681,clickbait
5713,clickbait
8118,clickbait
13431,not clickbait
4495,not clickbait
1798,clickbait
11651,clickbait
6446,clickbait
8342,not clickbait
3268,clickbait
845,clickbait
10522,not clickbait
7780,not clickbait
6751,clickbait
276,not clickbait
8499,not clickbait
6047,clickbait
14759,not clickbait
14149,clickbait
11059,not clickbait
11671,not clickbait
3044,not clickbait
7430,not clickbait
3177,not clickbait
4558,clickbait
163,not clickbait
2095,not clickbait
7697,clickbait
13047,clickbait
12118,not clickbait
15739,not clickbait
11440,not clickbait
9178,not clickbait
14743,clickbait
12988,not clickbait
14393,not clickbait
4266,not clickbait
825,not clickbait
1668,clickbait
13599,clickbait
949,not clickbait
8404,not clickbait
2324,clickbait
542,not clickbait
12067,not clickbait
3749,not clickbait
3855,clickbait
4728,clickbait
1462,not clickbait
12223,not clickbait
12463,clickbait
12585,not clickbait
6068,not clickbait
7781,not clickbait
3706,not clickbait
9185,clickbait
12686,not clickbait
14200,not clickbait
9416,not clickbait
53,not clickbait
13445,clickbait
14313,clickbait
574,clickbait
222,clickbait
8121,clickbait
10027,not clickbait
661,not clickbait
8297,not clickbait
13158,not clickbait
8218,not clickbait
14007,not clickbait
11201,not clickbait
7,clickbait
9583,not clickbait
15175,not clickbait
8608,clickbait
1865,clickbait
400,not clickbait
14821,clickbait
7121,clickbait
11324,clickbait
12921,clickbait
5535,clickbait
2099,clickbait
964,not clickbait
13344,not clickbait
8019,not clickbait
8165,clickbait
3519,not clickbait
1772,not clickbait
8439,not clickbait
13111,not clickbait
9280,not clickbait
11241,not clickbait
225,not clickbait
8626,not clickbait
10234,clickbait
7541,clickbait
15356,not clickbait
10236,not clickbait
10611,not clickbait
12930,not clickbait
5958,not clickbait
14065,clickbait
14434,not clickbait
11262,not clickbait
6457,clickbait
2683,clickbait
4585,clickbait
14942,clickbait
6792,not clickbait
7396,clickbait
6489,clickbait
1313,not clickbait
12721,clickbait
11362,clickbait
4762,not clickbait
2408,clickbait
10569,clickbait
14653,clickbait
6677,clickbait
1494,not clickbait
5205,not clickbait
1480,not clickbait
11270,clickbait
5156,clickbait
6518,not clickbait
14829,clickbait
5867,not clickbait
5072,not clickbait
11501,not clickbait
13865,clickbait
6248,clickbait
1835,clickbait
4648,not clickbait
2348,clickbait
2368,not clickbait
1367,clickbait
5596,not clickbait
10288,not clickbait
13392,not clickbait
5161,clickbait
7802,clickbait
2758,clickbait
70,not clickbait
11391,clickbait
2468,clickbait
12384,not clickbait
5977,not clickbait
1460,clickbait
5969,not clickbait
8061,clickbait
13765,not clickbait
14150,not clickbait
5274,clickbait
5200,clickbait
13917,clickbait
9107,not clickbait
13374,clickbait
10665,clickbait
6898,clickbait
15496,not clickbait
3101,clickbait
6566,clickbait
12826,clickbait
4390,not clickbait
7284,clickbait
15696,not clickbait
11418,clickbait
2808,not clickbait
1277,not clickbait
3066,clickbait
4130,clickbait
8592,clickbait
15617,not clickbait
90,not clickbait
14974,not clickbait
12363,clickbait
2829,not clickbait
10724,clickbait
13972,not clickbait
6409,not clickbait
2572,clickbait
7531,not clickbait
6141,clickbait
9739,not clickbait
1316,clickbait
9769,clickbait
15754,not clickbait
4208,not clickbait
613,not clickbait
8038,clickbait
14403,clickbait
12681,clickbait
5501,not clickbait
5753,clickbait
13979,clickbait
14267,clickbait
6236,not clickbait
783,not clickbait
11118,not clickbait
1433,clickbait
5761,clickbait
10607,not clickbait
12916,clickbait
1952,not clickbait
1790,not clickbait
15608,not clickbait
12251,clickbait
1583,clickbait
5640,not clickbait
10478,clickbait
5761,not clickbait
15311,not clickbait
5924,clickbait
3369,clickbait
2738,not clickbait
10334,clickbait
4368,not clickbait
12224,not clickbait
12864,clickbait
7247,not clickbait
7364,clickbait
11372,not clickbait
10437,clickbait
2011,clickbait
1862,clickbait
4969,not clickbait
2346,clickbait
13549,clickbait
4036,clickbait
11971,not clickbait
2566,clickbait
15373,not clickbait
13131,clickbait
591,not clickbait
12022,clickbait
1116,not clickbait
29,not clickbait
3545,not clickbait
12500,not clickbait
6253,clickbait
13074,not clickbait
4905,clickbait
15035,not clickbait
9936,clickbait
311,clickbait
8758,clickbait
10440,not clickbait
15662,not clickbait
8967,clickbait
8999,not clickbait
6945,not clickbait
9205,not clickbait
6174,not clickbait
6741,clickbait
8673,not clickbait
14620,clickbait
13099,not clickbait
12162,not clickbait
1905,clickbait
11015,not clickbait
12063,not clickbait
6858,clickbait
9489,clickbait
15140,clickbait
361,not clickbait
7125,not clickbait
9377,clickbait
5396,clickbait
12489,not clickbait
8128,not clickbait
9207,clickbait
6307,clickbait
7977,clickbait
15462,not clickbait
4600,not clickbait
1828,clickbait
5062,not clickbait
5727,clickbait
7381,clickbait
5963,clickbait
4382,not clickbait
14528,clickbait
14304,clickbait
11600,not clickbait
6760,clickbait
8304,clickbait
1049,clickbait
6499,clickbait
5237,clickbait
15641,not clickbait
1048,clickbait
12240,not clickbait
9373,clickbait
5676,clickbait
6958,clickbait
2755,not clickbait
5992,clickbait
883,not clickbait
5084,clickbait
9845,not clickbait
6931,not clickbait
12680,not clickbait
12736,not clickbait
10085,not clickbait
7589,not clickbait
15362,not clickbait
15231,not clickbait
4012,not clickbait
8899,not clickbait
7730,not clickbait
628,clickbait
9440,clickbait
11649,not clickbait
13059,not clickbait
3161,clickbait
13503,not clickbait
4667,clickbait
9474,clickbait
7958,not clickbait
9946,clickbait
11662,clickbait
11681,clickbait
15025,clickbait
2543,not clickbait
11315,clickbait
15002,not clickbait
12543,clickbait
13539,clickbait
5945,clickbait
5377,not clickbait
294,not clickbait
12265,clickbait
12727,clickbait
10572,not clickbait
5086,not clickbait
5538,clickbait
7832,not clickbait
10471,not clickbait
1548,not clickbait
13762,not clickbait
5259,not clickbait
13179,not clickbait
890,clickbait
5142,not clickbait
2098,not clickbait
14600,clickbait
13669,clickbait
13144,clickbait
3745,not clickbait
543,clickbait
8853,clickbait
7331,not clickbait
2193,clickbait
8773,clickbait
15503,not clickbait
5147,clickbait
121,not clickbait
6610,not clickbait
7477,clickbait
3829,not clickbait
10872,clickbait
9559,clickbait
9498,clickbait
10048,clickbait
11361,not clickbait
11893,not clickbait
6356,not clickbait
15411,not clickbait
9787,not clickbait
14918,clickbait
553,clickbait
14645,clickbait
11019,clickbait
7765,not clickbait
1286,clickbait
1125,clickbait
13759,clickbait
12936,not clickbait
2921,not clickbait
4161,not clickbait
7878,not clickbait
10729,not clickbait
2631,not clickbait
5182,clickbait
14235,not clickbait
12478,clickbait
12502,not clickbait
15755,not clickbait
15553,not clickbait
8193,not clickbait
10324,not clickbait
615,not clickbait
7087,clickbait
9184,clickbait
8546,clickbait
2529,not clickbait
11551,not clickbait
4173,clickbait
15077,clickbait
12959,clickbait
4836,clickbait
9114,not clickbait
7850,clickbait
2905,not clickbait
2170,clickbait
14960,not clickbait
7745,not clickbait
1628,clickbait
1390,not clickbait
15116,not clickbait
14841,clickbait
8946,clickbait
14465,clickbait
10383,clickbait
7796,not clickbait
6986,not clickbait
12657,clickbait
3114,not clickbait
10852,clickbait
5742,clickbait
14067,clickbait
15134,not clickbait
8634,not clickbait
7198,clickbait
5500,clickbait
15007,clickbait
2667,not clickbait
5619,not clickbait
11024,not clickbait
6836,not clickbait
14481,clickbait
92,not clickbait
9865,clickbait
12097,not clickbait
11834,clickbait
3797,not clickbait
6029,clickbait
4098,not clickbait
11993,clickbait
6947,clickbait
5804,not clickbait
13648,clickbait
4688,clickbait
14461,clickbait
10400,not clickbait
6308,clickbait
10499,not clickbait
2850,clickbait
5066,not clickbait
1314,not clickbait
1739,clickbait
15205,clickbait
6783,clickbait
1451,clickbait
9196,not clickbait
11577,clickbait
598,clickbait
14694,clickbait
9874,clickbait
1648,not clickbait
946,clickbait
7688,clickbait
13608,not clickbait
14939,not clickbait
1810,clickbait
14815,clickbait
2952,not clickbait
9690,clickbait
15457,not clickbait
3985,not clickbait
14960,clickbait
9270,not clickbait
2884,not clickbait
2507,clickbait
13550,clickbait
494,clickbait
8708,not clickbait
5741,clickbait
11938,not clickbait
14035,clickbait
8144,clickbait
4852,clickbait
6747,clickbait
2188,not clickbait
6602,not clickbait
12087,clickbait
15220,clickbait
9442,not clickbait
158,not clickbait
2274,not clickbait
3904,not clickbait
9880,clickbait
4920,not clickbait
11109,not clickbait
6854,clickbait
13471,not clickbait
2950,not clickbait
5957,clickbait
11476,clickbait
3507,clickbait
5018,clickbait
2822,clickbait
1882,not clickbait
11042,clickbait
12377,not clickbait
7370,not clickbait
6601,not clickbait
3944,clickbait
9504,clickbait
4933,clickbait
4242,not clickbait
1341,clickbait
7162,not clickbait
1641,not clickbait
15863,not clickbait
248,not clickbait
4893,clickbait
888,not clickbait
4764,not clickbait
534,clickbait
7054,not clickbait
14606,clickbait
3866,not clickbait
3780,clickbait
6826,clickbait
9172,not clickbait
7572,clickbait
3868,not clickbait
5702,not clickbait
